iter	Passed	Remaining
914	59076	5487
915	59135	5422
916	59185	5357
917	59247	5292
918	59301	5226
919	59362	5161
920	59416	5096
921	59476	5031
922	59532	4966
923	59593	4901
924	59646	4836
925	59704	4771
926	59758	4705
927	59817	4641
928	59872	4575
929	59931	4510
930	59988	4445
931	60047	4381
932	60108	4316
933	60169	4251
934	60224	4186
935	60289	4122
936	60343	4057
937	60407	3992
938	60461	3927
939	60532	3863
940	60598	3799
941	60666	3735
942	60728	3670
943	60800	3606
944	60867	3542
945	60937	3478
946	61000	3413
947	61071	3349
948	61137	3285
949	61207	3221
950	61273	3157
951	61356	3093
952	61430	3029
953	61501	2965
954	61572	2901
955	61639	2836
956	61697	2772
957	61762	2707
958	61822	2643
959	61889	2578
960	61951	2514
961	62017	2449
962	62080	2385
963	62144	2320
964	62202	2256
965	62271	2191
966	62332	2127
967	62397	2062
968	62456	1998
969	62521	1933
970	62580	1869
971	62644	1804
972	62701	1739
973	62762	1675
974	62838	1611
975	62919	1547
976	62989	1482
977	63067	1418
978	63132	1354
979	63201	1289
980	63269	1225
981	63377	1161
982	63452	1097
983	63517	1032
984	63582	968
985	63653	903
986	63726	839
987	63811	775
988	63923	710
989	64031	646
990	64105	582
991	64189	517
992	64280	453
993	64366	388
994	64453	323
995	64542	259
996	64610	194
997	64684	129
998	64747	64
999	64813	0
